timestamp,sxr_flux,hxr_flux
2026-06-30 08:13:00+00:00,1.6472951074320008e-06,1.4200937314967632e-08
2026-06-30 08:14:00+00:00,1.6268196532109869e-06,1.5962260846436038e-08
2026-06-30 08:15:00+00:00,1.5983262073859805e-06,1.4643863011087888e-08
2026-06-30 08:16:00+00:00,1.5774268149471027e-06,1.2743658572844652e-08
2026-06-30 08:17:00+00:00,1.5624494835719815e-06,1.4122591096565884e-08
2026-06-30 08:18:00+00:00,1.552998924125859e-06,1.5168946987387244e-08
2026-06-30 08:19:00+00:00,1.5531293229287257e-06,1.678120220560686e-08
2026-06-30 08:20:00+00:00,1.5559767234663013e-06,1.712323793867654e-08
2026-06-30 08:21:00+00:00,1.5508849173784256e-06,1.594314724684409e-08
2026-06-30 08:22:00+00:00,1.5441524965353892e-06,1.8840557558519322e-08
2026-06-30 08:23:00+00:00,1.5357614984168322e-06,1.7626042847496137e-08
2026-06-30 08:24:00+00:00,1.5422155001942883e-06,1.6598965757452788e-08
2026-06-30 08:25:00+00:00,1.603982468623144e-06,2.6805686559328024e-08
2026-06-30 08:26:00+00:00,1.7430360230719089e-06,4.225709560046198e-08
2026-06-30 08:27:00+00:00,1.7738706219461164e-06,3.974925633087878e-08
2026-06-30 08:28:00+00:00,1.7497768567409366e-06,3.088011624186038e-08
2026-06-30 08:29:00+00:00,1.7302431842836086e-06,2.8562707754531402e-08
2026-06-30 08:30:00+00:00,1.6964399947028141e-06,2.5537479686477127e-08
2026-06-30 08:31:00+00:00,1.6553096884308616e-06,2.3216411904058987e-08
2026-06-30 08:32:00+00:00,1.6152712305483874e-06,2.1312668962991665e-08
2026-06-30 08:33:00+00:00,1.5875471035542432e-06,1.8776937338316202e-08
2026-06-30 08:34:00+00:00,1.569281153024349e-06,1.815398320559325e-08
2026-06-30 08:35:00+00:00,1.5359729559349944e-06,1.530982096653588e-08
2026-06-30 08:36:00+00:00,1.509404228272615e-06,1.5438770262221624e-08
2026-06-30 08:37:00+00:00,1.4960619409976061e-06,1.298525997839306e-08
2026-06-30 08:38:00+00:00,1.4919806972102378e-06,1.478457090087204e-08
2026-06-30 08:39:00+00:00,1.494725779593864e-06,1.6433848060160017e-08
2026-06-30 08:40:00+00:00,1.498648657616286e-06,1.882998468261121e-08
2026-06-30 08:41:00+00:00,1.5282870435839868e-06,1.875404542772685e-08
2026-06-30 08:42:00+00:00,1.5028095958768972e-06,1.8516873367957487e-08
2026-06-30 08:43:00+00:00,1.492501723987516e-06,1.63849076528777e-08
2026-06-30 08:44:00+00:00,1.4800953067606315e-06,1.6098345767545652e-08
2026-06-30 08:45:00+00:00,1.4786405699851457e-06,1.6832538918265527e-08
2026-06-30 08:46:00+00:00,1.4799111340835225e-06,1.602392529775898e-08
2026-06-30 08:47:00+00:00,1.4788477074034745e-06,1.6507597067061397e-08
2026-06-30 08:48:00+00:00,1.4824546497038682e-06,1.621135048424094e-08
2026-06-30 08:49:00+00:00,1.5135534567889408e-06,1.9358841640837454e-08
2026-06-30 08:50:00+00:00,1.5374802160295076e-06,1.8779916288735876e-08
2026-06-30 08:51:00+00:00,1.555838025524281e-06,1.8826037617714064e-08
2026-06-30 08:52:00+00:00,1.5692942270106869e-06,2.3688413008926545e-08
2026-06-30 08:53:00+00:00,1.614822963347251e-06,2.485651684480672e-08
2026-06-30 08:54:00+00:00,1.6294734450639226e-06,2.5318101393168035e-08
2026-06-30 08:55:00+00:00,1.648891839067801e-06,2.7580167483165496e-08
2026-06-30 08:56:00+00:00,1.6081094145192765e-06,2.4049008118254278e-08
2026-06-30 08:57:00+00:00,1.5818166048120474e-06,2.3538275328860436e-08
2026-06-30 08:58:00+00:00,1.553098968543054e-06,2.070106752682932e-08
